kind,wp_path,gsc_clicks,gsc_impressions,shopify_handle_match,suggested_target,existing_redirect,status,action
product_cat,/categorie-produit/coloristeur-masque-1l,0,0,coloristeur-masque-1l,/collections/coloristeur-masque-1l,,collection_missing,CREATE → /collections/coloristeur-masque-1l
product_cat,/categorie-produit/coloristeur-masque-200-ml,0,0,coloristeur-masque-200-ml,/collections/coloristeur-masque-200-ml,,collection_missing,CREATE → /collections/coloristeur-masque-200-ml
product_cat,/categorie-produit/coloristeur-shampoing-1l,0,3,coloristeur-shampoing-1l,/collections/coloristeur-shampoing-1l,,collection_missing,CREATE → /collections/coloristeur-shampoing-1l
product_cat,/categorie-produit/coloristeur-shampoing-200-ml,0,2,coloristeur-shampoing-200-ml,/collections/coloristeur-shampoing-200-ml,,collection_missing,CREATE → /collections/coloristeur-shampoing-200-ml
product_cat,/categorie-produit/etiquette-personnalisable,0,1,etiquette-personnalisable,/collections/etiquette-personnalisable,,collection_missing,CREATE → /collections/etiquette-personnalisable
product_cat,/categorie-produit/gamme-mixte,0,2,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/gamme-mixte/les-boucles,0,0,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/gamme-mixte/les-lissants,0,1,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/gamme-mixte/les-nourrissants,0,0,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/gamme-mixte/les-protecteurs-de-couleur,0,0,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/gamme-mixte/les-purifiants,0,0,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/gamme-mixte/les-sprays,0,0,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/gamme-mixte/les-volumes,0,5,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/gamme-mixte/masque-1l,0,0,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/gamme-mixte/masques,0,0,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/gamme-mixte/produits-de-finitions,0,0,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/gamme-mixte/shampoing-1l,0,0,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/gamme-mixte/shampoings,0,0,gamme-mixte,/collections/gamme-mixte,,collection_missing,CREATE → /collections/gamme-mixte
product_cat,/categorie-produit/huiles,0,0,huiles,/collections/huiles,,collection_missing,CREATE → /collections/huiles
product_cat,/categorie-produit/le-gel-apres-rasage,0,0,le-gel-apres-rasage,/collections/le-gel-apres-rasage,,collection_missing,CREATE → /collections/le-gel-apres-rasage
product_cat,/categorie-produit/les-baumes,0,0,les-baumes,/collections/les-baumes,,collection_missing,CREATE → /collections/les-baumes
product_cat,/categorie-produit/les-cires,0,0,les-cires,/collections/les-cires,,collection_missing,CREATE → /collections/les-cires
product_cat,/categorie-produit/marketing-personnalisable,0,9,marketing-personnalisable,/collections/marketing-personnalisable,,collection_missing,CREATE → /collections/marketing-personnalisable
product_cat,/categorie-produit/pack-de-lancement,0,27,pack-de-lancement,/collections/pack-de-lancement,/collections/all,collection_missing,"CONFLICT — exists pointing to /collections/all, recommend /collections/pack-de-lancement"
product_cat,/categorie-produit/serums,0,0,serums,/collections/serums,,collection_missing,CREATE → /collections/serums
product_cat,/categorie-produit/testeur-coloristeur-masque,0,0,testeur-coloristeur-masque,/collections/testeur-coloristeur-masque,,collection_missing,CREATE → /collections/testeur-coloristeur-masque
product_cat,/categorie-produit/testeur-coloristeur-shampoing,0,0,testeur-coloristeur-shampoing,/collections/testeur-coloristeur-shampoing,,collection_missing,CREATE → /collections/testeur-coloristeur-shampoing
product_cat,/categorie-produit/testeur-creme,0,27,testeur-creme,/collections/testeur-creme,,collection_missing,CREATE → /collections/testeur-creme
product_cat,/categorie-produit/testeur-masque,0,2,testeur-masque,/collections/testeur-masque,,collection_missing,CREATE → /collections/testeur-masque
product_cat,/categorie-produit/testeur-produit,0,4,testeur-produit,/collections/testeur-produit,,collection_missing,CREATE → /collections/testeur-produit
product_cat,/categorie-produit/testeur-shampoing,0,0,testeur-shampoing,/collections/testeur-shampoing,,collection_missing,CREATE → /collections/testeur-shampoing
product_cat,/categorie-produit/testeur-soin,0,5,testeur-soin,/collections/testeur-soin,,collection_missing,CREATE → /collections/testeur-soin
product_tag,/etiquette-produit/200ml,0,0,,,,unknown,INVESTIGATE — no target found
product_tag,/etiquette-produit/50ml,0,18,,,,unknown,INVESTIGATE — no target found
product_tag,/etiquette-produit/coiffants,0,0,,,,unknown,INVESTIGATE — no target found
product_tag,/etiquette-produit/masque-1l,0,0,,,,unknown,INVESTIGATE — no target found
product_tag,/etiquette-produit/shampoing-1l,0,25,,,,unknown,INVESTIGATE — no target found
