kind,wp_path,gsc_clicks,gsc_impressions,shopify_handle_match,suggested_target,existing_redirect,status,action
product,/produit/adhesion-mylab,0,14,adhesion-mylab,/products/adhesion-mylab,,product_missing,CREATE → /products/adhesion-mylab
product,/produit/azul,0,4,azul,/products/azul,,product_match,CREATE → /products/azul
product,/produit/bain-miraculeux,0,11,bain-miraculeux,/products/bain-miraculeux,,product_match,CREATE → /products/bain-miraculeux
product,/produit/bain-miraculeux-testeur,0,8,bain-miraculeux-testeur,/products/bain-miraculeux-testeur,,product_match,CREATE → /products/bain-miraculeux-testeur
product,/produit/baume-apaisant,0,0,baume-apaisant,/products/baume-apaisant,,product_missing,CREATE → /products/baume-apaisant
product,/produit/baume-matifiant,0,21,baume-matifiant,/products/baume-matifiant,,product_missing,CREATE → /products/baume-matifiant
product,/produit/catalogue-personnalise,0,0,catalogue-personnalise,/products/catalogue-personnalise,,product_match,CREATE → /products/catalogue-personnalise
product,/produit/cire-brillante-de-finition-en-50-ml,0,3,cire-brillante-de-finition-en-50-ml,/products/cire-brillante-de-finition-en-50-ml,,product_missing,CREATE → /products/cire-brillante-de-finition-en-50-ml
product,/produit/cire-gummy-50ml,0,6,cire-gummy-50ml,/products/cire-gummy-50ml,,product_missing,CREATE → /products/cire-gummy-50ml
product,/produit/cire-mat-50ml,0,19,cire-mat-50ml,/products/cire-mat-50ml,,product_missing,CREATE → /products/cire-mat-50ml
product,/produit/coffret-decouverte,0,2,coffret-decouverte,/products/coffret-decouverte,,product_missing,CREATE → /products/coffret-decouverte
product,/produit/coffret-decouverte-barber,0,15,coffret-decouverte-barber,/products/coffret-decouverte-barber,,product_missing,CREATE → /products/coffret-decouverte-barber
product,/produit/creation-de-codes-barres-professionnels,0,28,creation-de-codes-barres-professionnels,/products/creation-de-codes-barres-professionnels,,product_match,CREATE → /products/creation-de-codes-barres-professionnels
product,/produit/creme-boucle,0,7,creme-boucle,/products/creme-boucle,,product_missing,CREATE → /products/creme-boucle
product,/produit/creme-boucles-testeur,0,2,creme-boucles-testeur,/products/creme-boucles-testeur,,product_match,CREATE → /products/creme-boucles-testeur
product,/produit/creme-ha-repulpe-testeur,0,8,creme-ha-repulpe-testeur,/products/creme-ha-repulpe-testeur,,product_match,CREATE → /products/creme-ha-repulpe-testeur
product,/produit/creme-lissante-testeur,0,1,creme-lissante-testeur,/products/creme-lissante-testeur,,product_match,CREATE → /products/creme-lissante-testeur
product,/produit/creme-nourrissante,0,5,creme-nourrissante,/products/creme-nourrissante,,product_match,CREATE → /products/creme-nourrissante
product,/produit/creme-protecteur-de-couleur-testeur,0,1,creme-protecteur-de-couleur-testeur,/products/creme-protecteur-de-couleur-testeur,,product_missing,CREATE → /products/creme-protecteur-de-couleur-testeur
product,/produit/creme-protectrice-de-couleur,0,43,creme-protectrice-de-couleur,/products/creme-protectrice-de-couleur,,product_match,CREATE → /products/creme-protectrice-de-couleur
product,/produit/creme-volume,0,68,creme-volume,/products/creme-volume,,product_match,CREATE → /products/creme-volume
product,/produit/creme-volume-testeur,0,5,creme-volume-testeur,/products/creme-volume-testeur,,product_match,CREATE → /products/creme-volume-testeur
product,/produit/duo-produits-de-finition,0,17,duo-produits-de-finition,/products/duo-produits-de-finition,,product_missing,CREATE → /products/duo-produits-de-finition
product,/produit/duo-purifiant,0,4,duo-purifiant,/products/duo-purifiant,,product_missing,CREATE → /products/duo-purifiant
product,/produit/etiquette-and-yellow,0,0,etiquette-and-yellow,/products/etiquette-and-yellow,,product_missing,CREATE → /products/etiquette-and-yellow
product,/produit/etiquette-aquarel,0,9,etiquette-aquarel,/products/etiquette-aquarel,,product_missing,CREATE → /products/etiquette-aquarel
product,/produit/etiquette-feuillage-graphique,0,15,etiquette-feuillage-graphique,/products/etiquette-feuillage-graphique,,product_missing,CREATE → /products/etiquette-feuillage-graphique
product,/produit/etiquette-finesse,0,1,etiquette-finesse,/products/etiquette-finesse,,product_missing,CREATE → /products/etiquette-finesse
product,/produit/etiquette-gentleman,0,0,etiquette-gentleman,/products/etiquette-gentleman,,product_missing,CREATE → /products/etiquette-gentleman
product,/produit/etiquette-green-floral,0,3,etiquette-green-floral,/products/etiquette-green-floral,,product_missing,CREATE → /products/etiquette-green-floral
product,/produit/etiquette-ornement,0,2,etiquette-ornement,/products/etiquette-ornement,,product_missing,CREATE → /products/etiquette-ornement
product,/produit/etiquette-prestige,0,4,etiquette-prestige,/products/etiquette-prestige,,product_missing,CREATE → /products/etiquette-prestige
product,/produit/etiquette-zebra,0,6,etiquette-zebra,/products/etiquette-zebra,,product_missing,CREATE → /products/etiquette-zebra
product,/produit/etiquettes-sur-mesure,0,0,etiquettes-sur-mesure,/products/etiquettes-sur-mesure,,product_missing,CREATE → /products/etiquettes-sur-mesure
product,/produit/forfait-dimpression-standard,0,0,forfait-dimpression-standard,/products/forfait-dimpression-standard,,product_match,CREATE → /products/forfait-dimpression-standard
product,/produit/forfait-impression-couleur,0,0,forfait-impression-couleur,/products/forfait-impression-couleur,,product_missing,CREATE → /products/forfait-impression-couleur
product,/produit/frais-dimpression-etiquettes,0,64,frais-dimpression-etiquettes,/products/frais-dimpression-etiquettes,,product_match,CREATE → /products/frais-dimpression-etiquettes
product,/produit/fresh,0,16,fresh,/products/fresh,,product_match,CREATE → /products/fresh
product,/produit/gel-a-raser,0,2,gel-a-raser,/products/gel-a-raser,,product_missing,CREATE → /products/gel-a-raser
product,/produit/huile-a-barbe-testeur,0,22,huile-a-barbe-testeur,/products/huile-a-barbe-testeur,,product_match,CREATE → /products/huile-a-barbe-testeur
product,/produit/masque-1l-coloristeur-blond-soleil,0,0,masque-1l-coloristeur-blond-soleil,/products/masque-1l-coloristeur-blond-soleil,,product_missing,CREATE → /products/masque-1l-coloristeur-blond-soleil
product,/produit/masque-1l-coloristeur-blond-vanillle,0,0,masque-1l-coloristeur-blond-vanillle,/products/masque-1l-coloristeur-blond-vanillle,,product_missing,CREATE → /products/masque-1l-coloristeur-blond-vanillle
product,/produit/masque-1l-coloristeur-chocolat,0,0,masque-1l-coloristeur-chocolat,/products/masque-1l-coloristeur-chocolat,,product_missing,CREATE → /products/masque-1l-coloristeur-chocolat
product,/produit/masque-1l-coloristeur-cuivre-intense,0,3,masque-1l-coloristeur-cuivre-intense,/products/masque-1l-coloristeur-cuivre-intense,,product_missing,CREATE → /products/masque-1l-coloristeur-cuivre-intense
product,/produit/masque-1l-coloristeur-marron-noisette,0,0,masque-1l-coloristeur-marron-noisette,/products/masque-1l-coloristeur-marron-noisette,,product_missing,CREATE → /products/masque-1l-coloristeur-marron-noisette
product,/produit/masque-1l-dejaunisseur-platine,0,1,masque-1l-dejaunisseur-platine,/products/masque-1l-dejaunisseur-platine,,product_missing,CREATE → /products/masque-1l-dejaunisseur-platine
product,/produit/masque-blond-soleil-testeur,0,1,masque-blond-soleil-testeur,/products/masque-blond-soleil-testeur,,product_match,CREATE → /products/masque-blond-soleil-testeur
product,/produit/masque-blond-vanille-testeur,0,4,masque-blond-vanille-testeur,/products/masque-blond-vanille-testeur,,product_match,CREATE → /products/masque-blond-vanille-testeur
product,/produit/masque-boucles,0,2,masque-boucles,/products/masque-boucles,,product_match,CREATE → /products/masque-boucles
product,/produit/masque-boucles-1-l,0,0,masque-boucles-1-l,/products/masque-boucles-1-l,,product_missing,CREATE → /products/masque-boucles-1-l
product,/produit/masque-boucles-testeur,0,4,masque-boucles-testeur,/products/masque-boucles-testeur,,product_match,CREATE → /products/masque-boucles-testeur
product,/produit/masque-chocolat-testeur,0,0,masque-chocolat-testeur,/products/masque-chocolat-testeur,,product_match,CREATE → /products/masque-chocolat-testeur
product,/produit/masque-coloristeur-blond-soleil,0,3,masque-coloristeur-blond-soleil,/products/masque-coloristeur-blond-soleil,,product_match,CREATE → /products/masque-coloristeur-blond-soleil
product,/produit/masque-coloristeur-blond-vanille,0,15,masque-coloristeur-blond-vanille,/products/masque-coloristeur-blond-vanille,,product_match,CREATE → /products/masque-coloristeur-blond-vanille
product,/produit/masque-coloristeur-chocolat,0,0,masque-coloristeur-chocolat,/products/masque-coloristeur-chocolat,,product_match,CREATE → /products/masque-coloristeur-chocolat
product,/produit/masque-coloristeur-cuivre,0,7,masque-coloristeur-cuivre,/products/masque-coloristeur-cuivre,,product_match,CREATE → /products/masque-coloristeur-cuivre
product,/produit/masque-coloristeur-marron-noisette,0,0,masque-coloristeur-marron-noisette,/products/masque-coloristeur-marron-noisette,,product_match,CREATE → /products/masque-coloristeur-marron-noisette
product,/produit/masque-cuivre-intense-testeur,0,2,masque-cuivre-intense-testeur,/products/masque-cuivre-intense-testeur,,product_match,CREATE → /products/masque-cuivre-intense-testeur
product,/produit/masque-dejaunisseur-platine,0,0,masque-dejaunisseur-platine,/products/masque-dejaunisseur-platine,,product_match,CREATE → /products/masque-dejaunisseur-platine
product,/produit/masque-ha-repulpe,0,17,masque-ha-repulpe,/products/masque-ha-repulpe,,product_match,CREATE → /products/masque-ha-repulpe
product,/produit/masque-ha-repulpe-1l,0,1,masque-ha-repulpe-1l,/products/masque-ha-repulpe-1l,,product_missing,CREATE → /products/masque-ha-repulpe-1l
product,/produit/masque-ha-repulpe-testeur,0,6,masque-ha-repulpe-testeur,/products/masque-ha-repulpe-testeur,,product_match,CREATE → /products/masque-ha-repulpe-testeur
product,/produit/masque-lissant,0,11,masque-lissant,/products/masque-lissant,/products/masque-lissant-testeur,product_match,"CONFLICT — exists pointing to /products/masque-lissant-testeur, recommend /products/masque-lissant"
product,/produit/masque-lissant-1-l,0,0,masque-lissant-1-l,/products/masque-lissant-1-l,,product_missing,CREATE → /products/masque-lissant-1-l
product,/produit/masque-lissant-testeur,0,3,masque-lissant-testeur,/products/masque-lissant-testeur,,product_match,CREATE → /products/masque-lissant-testeur
product,/produit/masque-marron-noisette-testeur,0,24,masque-marron-noisette-testeur,/products/masque-marron-noisette-testeur,,product_match,CREATE → /products/masque-marron-noisette-testeur
product,/produit/masque-nourrissant,0,2,masque-nourrissant,/products/masque-nourrissant,/products/masque-nourrissant-testeur,product_match,"CONFLICT — exists pointing to /products/masque-nourrissant-testeur, recommend /products/masque-nourrissant"
product,/produit/masque-nourrissant-1-l,0,0,masque-nourrissant-1-l,/products/masque-nourrissant-1-l,,product_missing,CREATE → /products/masque-nourrissant-1-l
product,/produit/masque-nourrissant-testeur,0,1,masque-nourrissant-testeur,/products/masque-nourrissant-testeur,,product_match,CREATE → /products/masque-nourrissant-testeur
product,/produit/masque-platine-testeur,0,8,masque-platine-testeur,/products/masque-platine-testeur,,product_match,CREATE → /products/masque-platine-testeur
product,/produit/masque-protecteur,0,1,masque-protecteur,/products/masque-protecteur,,product_missing,CREATE → /products/masque-protecteur
product,/produit/masque-protecteur-de-couleur-1-l,0,2,masque-protecteur-de-couleur-1-l,/products/masque-protecteur-de-couleur-1-l,,product_missing,CREATE → /products/masque-protecteur-de-couleur-1-l
product,/produit/masque-protecteur-de-couleur-testeur,0,0,masque-protecteur-de-couleur-testeur,/products/masque-protecteur-de-couleur-testeur,,product_match,CREATE → /products/masque-protecteur-de-couleur-testeur
product,/produit/masque-reparateur-sans-rincage,0,0,masque-reparateur-sans-rincage,/products/masque-reparateur-sans-rincage,,product_match,CREATE → /products/masque-reparateur-sans-rincage
product,/produit/masque-reparateur-sans-rincage-testeur,0,16,masque-reparateur-sans-rincage-testeur,/products/masque-reparateur-sans-rincage-testeur,,product_match,CREATE → /products/masque-reparateur-sans-rincage-testeur
product,/produit/masque-volume,0,21,masque-volume,/products/masque-volume,,product_match,CREATE → /products/masque-volume
product,/produit/masque-volume-1-l,0,0,masque-volume-1-l,/products/masque-volume-1-l,,product_missing,CREATE → /products/masque-volume-1-l
product,/produit/masque-volume-testeur,0,2,masque-volume-testeur,/products/masque-volume-testeur,,product_match,CREATE → /products/masque-volume-testeur
product,/produit/nourrissante-testeur,0,14,nourrissante-testeur,/products/nourrissante-testeur,,product_missing,CREATE → /products/nourrissante-testeur
product,/produit/number,0,13,number,/products/number,,product_match,CREATE → /products/number
product,/produit/offre-pack-complet,0,25,offre-pack-complet,/products/offre-pack-complet,,product_missing,CREATE → /products/offre-pack-complet
product,/produit/pack-de-revente,0,10,pack-de-revente,/products/pack-de-revente,,product_missing,CREATE → /products/pack-de-revente
product,/produit/pate-texturisante-50ml,0,50,pate-texturisante-50ml,/products/pate-texturisante-50ml,,product_missing,CREATE → /products/pate-texturisante-50ml
product,/produit/pate-texturisante-a-largile-blanche-testeur,0,23,pate-texturisante-a-largile-blanche-testeur,/products/pate-texturisante-a-largile-blanche-testeur,,product_missing,CREATE → /products/pate-texturisante-a-largile-blanche-testeur
product,/produit/serum-barbe,0,9,serum-barbe,/products/serum-barbe,,product_match,CREATE → /products/serum-barbe
product,/produit/serum-barbe-testeur,0,21,serum-barbe-testeur,/products/serum-barbe-testeur,,product_match,CREATE → /products/serum-barbe-testeur
product,/produit/serum-finition-ultime,0,3,serum-finition-ultime,/products/serum-finition-ultime,,product_match,CREATE → /products/serum-finition-ultime
product,/produit/serum-finition-ultime-testeur,0,8,serum-finition-ultime-testeur,/products/serum-finition-ultime-testeur,,product_match,CREATE → /products/serum-finition-ultime-testeur
product,/produit/shampoing-1l-coloristeur-blond-soleil,0,0,shampoing-1l-coloristeur-blond-soleil,/products/shampoing-1l-coloristeur-blond-soleil,,product_missing,CREATE → /products/shampoing-1l-coloristeur-blond-soleil
product,/produit/shampoing-1l-coloristeur-chocolat,0,8,shampoing-1l-coloristeur-chocolat,/products/shampoing-1l-coloristeur-chocolat,,product_missing,CREATE → /products/shampoing-1l-coloristeur-chocolat
product,/produit/shampoing-1l-coloristeur-cuivre,0,0,shampoing-1l-coloristeur-cuivre,/products/shampoing-1l-coloristeur-cuivre,,product_missing,CREATE → /products/shampoing-1l-coloristeur-cuivre
product,/produit/shampoing-1l-coloristeur-marron-noisette,0,1,shampoing-1l-coloristeur-marron-noisette,/products/shampoing-1l-coloristeur-marron-noisette,,product_missing,CREATE → /products/shampoing-1l-coloristeur-marron-noisette
product,/produit/shampoing-1l-dejaunisseur-platine,0,1,shampoing-1l-dejaunisseur-platine,/products/shampoing-1l-dejaunisseur-platine,,product_missing,CREATE → /products/shampoing-1l-dejaunisseur-platine
product,/produit/shampoing-blond-vanille-testeur,0,1,shampoing-blond-vanille-testeur,/products/shampoing-blond-vanille-testeur,,product_match,CREATE → /products/shampoing-blond-vanille-testeur
product,/produit/shampoing-boucle,0,1,shampoing-boucle,/products/shampoing-boucle,,product_missing,CREATE → /products/shampoing-boucle
